brand,delivered_on_time,delivery_time,discount_price,image,original_price,p_name,p_rating,price,response_rate,s_name,shipping_fee,total_reviews
5S,99%,4 - 6 ngày,-41%,https://vn-live-05.slatic.net/p/95132f1921f2e5d5d1315b4fa3f1236c.jpg_720x720q80.jpg_.webp,349.000 ₫,"Áo Sweater Nam Thu Đông Chất Nỉ 5S Cổ Tròn (11 màu), Chất Cotton Cao Cấp, Vải Trơn, Phom Ôm Trẻ Trung, Màu Sắc Cơ Bản Dễ Phối Đồ (ANI21013)",98%,205.000 ₫,100%,5S STORE,22.000 ₫,633 Ratings
No Brand,99%,1 - 5 ngày,-52%,//vn-live-05.slatic.net/p/c4b9de38d155b790100b838bbb733a18.jpg_720x720q80.jpg_.webp,130.000 ₫,[HCM]Áo Sweater nam nữ in hình Say Cheeze dễ thương kiểu hoodie chui đầu thích hợp làm áo cặp William - DS97,93%,62.000 ₫,97%,William Store,12.900 ₫,55 Ratings
OEM,92%,1 - 5 ngày,-69%,//vn-live-05.slatic.net/p/6a8c051b852ba22b9422f190a20f6573.jpg_720x720q80.jpg_.webp,159.000 ₫,"Áo Hoodie Nam Nữ Form Rộng In Hoạt Hình Gấu Đáng Yêu, Áo khoác nỉ thu đông nam nữ mặc đẹp giá tốt",97%,49.000 ₫,96%,TRENDING CLOTHES,12.900 ₫,11 Ratings
OEM,99%,1 - 5 ngày,-53%,//vn-live-05.slatic.net/p/186788a7984cf195d0d8d193c8b4cb7c.jpg_720x720q80.jpg_.webp,78.000 ₫,"Áo Khoác Nỉ Hoodies, Áo Khoác Nam Nữ, Phối Hình Không Lối Thoát, Mẫu Mới Hot Trend",,37.000 ₫,100%,PHÁT.247_STORE,12.900 ₫,16 Ratings
OEM,100%,4 - 6 ngày,-53%,//vn-live-05.slatic.net/p/0cd880333cffe72b96bc5d79ed5f751d.jpg_720x720q80.jpg_.webp,118.000 ₫,Áo Hoodie Loang Thun Nỉ Nam Dài Tay Mũ Trùm Đầu In Họa Tiết Chữ I'M MIZHEIS Phong Cách Trẻ Trung Basic Sành Điệu RICHMAN MEN TOP 142,70%,55.000 ₫,99%,Rich Man,22.000 ₫,87 Ratings
OEM,100%,1 - 5 ngày,-50%,//vn-live-05.slatic.net/p/5d2d08f72493ff00d0a7adb3155f42ba.jpg_720x720q80.jpg_.webp,98.000 ₫,"Áo Sweater Nam Nữ Kiểu Unisex In Chữ DRUG, Thời Trang Trẻ Trung Vải Nỉ Mền Mịn Mẫu Mới 2021",,49.000 ₫,100%,HUGO_FASHION,12.900 ₫,7 คะแนน
No Brand,99%,4 - 6 ngày,-44%,//vn-live-05.slatic.net/p/4f34e673386b96e16ffd45af4131eefd.jpg_720x720q80.jpg_.webp,480.000 ₫,"Áo nỉ Hoodie Drew house mặt cười Hogoto shop , áo nỉ bông hoodie unisex nam nữ",94%,267.000 ₫,100%,Hogoto Shopp,24.000 ₫,15 Ratings
OEM,99%,1 - 5 ngày,-56%,//vn-live-05.slatic.net/p/0c8bb82c410224045142619c38ac3ae6.jpg_720x720q80.jpg_.webp,259.000 ₫,Bộ Đồ Nam Chất Thun Da Cá Áo Hoodies Túi Hộp Phối Màu Đỏ Họa Tiết Rằn Ri Kết Hợp Quần Jogger Phối Dây Chữ Trẻ Trung Thời Trang FORHIMCS2 SET NAM 9000089,76%,114.700 ₫,97%,FORHIMCS2,12.900 ₫,267 Ratings
OEM,99%,1 - 5 ngày,-79%,//vn-live-05.slatic.net/p/a86bfbf3c599487824e76dec0767f9ae.jpg_720x720q80.jpg_.webp,120.000 ₫,[HCM]ÁO KHOÁC HOODIE MA MỊ SWEATER UNISEX NAM NỮ KHÔNG XÙ LÔNG TRẺ TRUNG NĂNG ĐỘNG_TP564,93%,25.000 ₫,99%,Xưởng Sỉ Giá Gốc,12.900 ₫,1 Ratings
No Brand,99%,1 - 5 ngày,-90%,//vn-live-05.slatic.net/p/15a3dbc3fab05c870e5a792fdc47d85b.jpg_720x720q80.jpg_.webp,59.000 ₫,[HCM]ÁO KHOÁC ÁO HOODIE NAM NỮ S.O SWEATER VẪY CHỮ FORM RỘNG CHẤT NỈ DÀY DẶN ẤM ẤP PINK SHOP,92%,6.000 ₫,97%,Pink.Shop,12.900 ₫,5 Ratings
OEM,100%,4 - 6 ngày,-57%,//vn-live-05.slatic.net/p/mdc/16013fc20851a7b60036e2a4fa8f8111.jpg_720x720q80.jpg_.webp,195.000 ₫,Bộ Quần Áo Hoodie Nam Dài Tay Mũ Trùm Đầu Họa Tiết Ô Chữ Nhật Lồng CITY Phối Chữ Dọc Tay Phá Cách Kiểu Dáng Thể Thao Trẻ Trung Năng Động C-CHAT QA NAM CC118,72%,84.000 ₫,100%,C-Chat Page,22.000 ₫,105 Ratings
No Brand,90%,1 - 5 ngày,-45%,//vn-live-05.slatic.net/p/4f585c48447696b594d0c9b4c62e04fa.png_720x720q80.jpg_.webp,99.000 ₫,Áo sweater Unisex in Vải nỉ bông size từ 35-70kg nhiều màu lựa chọn,96%,54.000 ₫,100%,Cachuch,12.900 ₫,272 Ratings
Zenko,100%,4 - 6 ngày,-66%,//vn-live-05.slatic.net/p/ac019b446cc611feca5b84b0fcea025c.jpg_720x720q80.jpg_.webp,138.000 ₫,Áo Hoodie Nỉ Nam Thu Đông Mũ Trùm Họa Tiết SIERMAN Phối Chữ Dọc Tay IT CAN’T RAIN In Hình Người Mặt Sau Phong Cách Đường Phố Thời Trang Hot Trend Sành Điệu HNDC TinaStore TOP NAM 155,75%,47.000 ₫,100%,tinastore3,22.000 ₫,237 Ratings
No Brand,99%,1 - 5 ngày,-53%,//vn-live-05.slatic.net/p/a59f1ff3dfe6ea43d218fe41dab3ff96.jpg_720x720q80.jpg_.webp,78.000 ₫,[HCM]ÁO KHOÁC NAM HOODIE TEBIEPAL CỰC CHẤT CAO CẤP KHÔNG XÙ LÔNG TRẺ TRUNG NĂNG ĐỘNG,90%,37.000 ₫,96%,Blackwhite1,12.900 ₫,89 Ratings
OEM,99%,1 - 5 ngày,-49%,//vn-live-05.slatic.net/p/9722f5910948755e3dfa84aeebb59224.jpg_720x720q80.jpg_.webp,195.000 ₫,Bộ Đồ Nam Chất Thun Da Cá Áo Hoodies Túi Hộp BORFEND Kết Hợp Quần Jogger Phối Dây Chữ Trẻ Trung Thời Trang 4MENHCM SET NAM 9000087,77%,100.190 ₫,99%,fashion4menhcm,12.900 ₫,116 Ratings
No Brand,94%,1 - 5 ngày,-50%,//vn-live-05.slatic.net/p/c930115b58811053c2f6f8f145771546.jpg_720x720q80.jpg_.webp,40.000 ₫,ÁO KHOÁC HOODIE CẶP ĐÔI THỜI TRANG ĐẾN TỪ HÀN QUỐC SIÊU ĐẸP ẤM ÁP MÙA ĐÔNG,73%,20.000 ₫,97%,NEYMAR,12.900 ₫,12 Ratings
5S,99%,4 - 6 ngày,-43%,https://vn-live-05.slatic.net/p/6d3eb091660a0911fce860b36aff1a8b.png_720x720q80.jpg_.webp,379.000 ₫,"Áo Sweater Nam Thu Đông Chất Nỉ 5S Cổ Tròn (5 màu), Thiết Kế In Hình Trẻ Trung, Phong Cách, Không Bai Dãn, Không Xù, Giữ Ấm Tốt (ANI21007)",98%,215.000 ₫,100%,5S STORE,22.000 ₫,12 Ratings
No Brand,98%,1 - 5 ngày,-47%,//vn-live-05.slatic.net/p/b6f2fde710f6f1ff0e3207e5ad6aa2e0.jpg_720x720q80.jpg_.webp,199.000 ₫,[HCM]Combo khủng  Áo khoác nỉ kèm nón và balo Alan Walker cực ngầu  CNV,86%,104.850 ₫,100%,KHO SỈ GIÁ GỐC,13.900 ₫,363 Ratings
No Brand,100%,4 - 6 ngày,-53%,//vn-live-05.slatic.net/p/c1c8b683880a0cf9b684f3320a13a366.jpg_720x720q80.jpg_.webp,118.000 ₫,Áo Hoodies Dài Tay Mũ Trùm Đầu Họa Tiết Chữ BOARDI Thời Trang Trẻ Trung RICHMAN MEN TOP 240,70%,56.000 ₫,99%,Rich Man,22.000 ₫,89 Ratings
Zenko,100%,4 - 6 ngày,-60%,//vn-live-05.slatic.net/p/eae096983341b711474b3a618da4ede7.jpg_720x720q80.jpg_.webp,118.000 ₫,Áo Hoodie Nam Chui Đầu Có Túi Trước Bụng In Chữ EKHMPST Phong Cách Hàn Quốc Cá Tính Sành Điệu HNDC TinaStore MEN TOP 151C,75%,47.000 ₫,100%,tinastore3,22.000 ₫,110 Ratings
No Brand,90%,1 - 5 ngày,-50%,//vn-live-05.slatic.net/p/d8a20e8f4f97dfd20cab74cd18babd7a.jpg_720x720q80.jpg_.webp,84.000 ₫,"Áo Tay Dài In mặt quỷ siêu ngầu, chất liệu thun nỉ siêu Dễ Thương KIỂU Hoodies Cho tuổi teen",88%,42.000 ₫,75%,THỜI TRANG THƯ THI,12.900 ₫,6 Ratings
OEM,100%,4 - 6 ngày,-60%,//vn-live-05.slatic.net/p/b58d7f60c9c6c22ff0f7e166c787918b.jpg_720x720q80.jpg_.webp,235.000 ₫,Bộ Quần Áo Nỉ Thu Đông Nam Dài Tay Khóa Kéo Mũ Trùm Đầu Họa Tiết Sao Nhỏ Phối Dây Chữ Phong Cách Trẻ Trung Thời Trang XƯỞNG MAY THANH NGA MEN QA 049,71%,93.130 ₫,100%,Xưởng May Thanh Nga,22.000 ₫,164 Ratings
No Brand,89%,1 - 5 ngày,-50%,https://vn-live-05.slatic.net/p/87b1ee316a8a35f78e78efdf0dc1ea16.jpg_720x720q80.jpg_.webp,70.000 ₫,"ÁO KHOÁC HOODIE NAM NỮ TRẮNG MA CUTE DÀY PHOM FROM RỘNG CHẤT NỈ CHỐNG LẠNH NẮNG, NÓNG ĐÔNG HÈ KIỂU MỚI - DUBAI FASHION",88%,35.000 ₫,99%,Dubaishop,12.900 ₫,2 Ratings
No Brand,100%,4 - 6 ngày,-66%,//vn-live-05.slatic.net/p/2ab4bb56818799773a658d91dac15698.jpg_720x720q80.jpg_.webp,98.000 ₫,Áo Hoodie Dài Tay Có Mũ Túi Bụng SUP Chất Nỉ Cao Cấp Kiểu Dáng Thời Trang HNDC TinaStoreStore TOP NAM 083,75%,33.000 ₫,100%,tinastore3,22.000 ₫,106 Ratings
No Brand,92%,1 - 5 ngày,-51%,//vn-live-05.slatic.net/p/696fdd986d147edcbf1c428b5aca8b93.jpg_720x720q80.jpg_.webp,70.000 ₫,ÁO KHOÁC CHỐNG NẮNG LẠNH HOODIE NAM NỮ HẠC THẦN MAY MẮN VẢI DÀY PHOM FORM RỘNG TREND 2021- EVEREST FASHION,87%,34.000 ₫,100%,everest.shop,12.900 ₫,429 Ratings
Zenko,100%,4 - 6 ngày,-66%,//vn-live-05.slatic.net/p/5a74d6c88046e46b1d7d133cb7260400.jpg_720x720q80.jpg_.webp,138.000 ₫,Áo Hoodie Nỉ Nam Thu Đông Mũ Trùm Họa Tiết Chữ K Phối Màu Phong Cách Đường Phố Thời TrangStore Hot Trend Sành Điệu HNDC TRANGSTORE TOP NAM 154,75%,47.000 ₫,100%,trangstore1,22.000 ₫,29 Ratings
OEM,99%,1 - 5 ngày,-58%,//vn-live-05.slatic.net/p/0a1fe2fa82f42e31706da2a3409b37ea.jpg_720x720q80.jpg_.webp,250.000 ₫,Bộ Đồ Nam Chất Thun Da Cá Áo Hoodies Túi Hộp BF.BORFEND In Hình Nhện Kết Hợp Quần Jogger Phối Dây Chữ Trẻ Trung Thời Trang 4MEN SET NAM 9000088,77%,105.100 ₫,99%,FASHION4MEN,12.900 ₫,354 Ratings
OEM,100%,4 - 6 ngày,-67%,//vn-live-05.slatic.net/p/4b31c73b01e7bdc9a41f276524dc7dc9.jpg_720x720q80.jpg_.webp,135.000 ₫,Áo Nỉ Nam Nữ Unisex Tay Dài Cổ Tròn In Họa Tiết Chữ RBONCP Phong Cách Trẻ Trung Cá Tính Năng Động HNDC ZENKO MEN TOP 138,,45.000 ₫,100%,Zenko,22.000 ₫,49 Ratings
,,,,,,,,,,,,
,,,,,,,,,,,,
OEM,100%,4 - 6 ngày,-58%,//vn-live-05.slatic.net/p/355a6bff3954a69d38a71b2f6e3dde30.jpg_720x720q80.jpg_.webp,199.000 ₫,Bộ Đồ Nam Chất Nỉ Da Cá Áo Nam Dài Tay Cổ Tròn Họa Tiết Mũ Rơm Nhỏ Kết Hợp Quần Jogger Một Sọc Ngắn Trẻ Trung Thời Trang C-CHAT MEN QA 135,72%,84.000 ₫,100%,C-Chat Page,22.000 ₫,132 Ratings
,,,,,,,,,,,,
No Brand,98%,1 - 5 ngày,-49%,//vn-live-05.slatic.net/p/f74e4849ab2df94206005b5b3bf7f9b5.jpg_720x720q80.jpg_.webp,70.000 ₫,[HCM]ÁO KHOÁC HOODIE TEBIEPAL SWEATER UNISEX NAM NỮ PHỐI NÓN VẢI CAO CẤP KHÔNG XÙ LÔNG TRẺ TRUNG NĂNG ĐỘNG CỰC CHẤT,91%,36.000 ₫,97%,1RED SHOP,12.900 ₫,14 Ratings
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
